No.,CASRN,DTXSID,PREFERRED_NAME,Original_SMILES,Original_InChi,Original_InChiKey,Canonical_QSARr,InChIKey_QSARr,Salt_Solvent,fup,log10_fup,tr_tst,outliers
10,141626-36-0,DTXSID3048653,Dronedarone,CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC,"InChI=1S/C31H44N2O5S/c1-5-8-12-29-30(27-23-25(32-39(4,35)36)15-18-28(27)38-29)31(34)24-13-16-26(17-14-24)37-22-11-21-33(19-9-6-2)20-10-7-3/h13-18,23,32H,5-12,19-22H2,1-4H3",ZQTNQVWKHCQYLQ-UHFFFAOYSA-N,CS(=O)(=O)NC1=CC2C(=C(CCCC)OC=2C=C1)C(=O)C1C=CC(=CC=1)OCCCN(CCCC)CCCC,ZQTNQVWKHCQYLQ-UHFFFAOYSA-N,,0.0008999999990895,-3.045757491,1,1
11,1100318-47-5,?,,CC1=CC(=C(N=C1)C(=O)C2=C3C=CNC3=NC=N2)NS(=O)(=O)C4=CC(=C(C=C4)Cl)C(F)(F)F,"InChI=1S/C20H13ClF3N5O3S/c1-10-6-15(29-33(31,32)11-2-3-14(21)13(7-11)20(22,23)24)17(26-8-10)18(30)16-12-4-5-25-19(12)28-9-27-16/h2-9,29H,1H3,(H,25,27,28)",LUUMLYXKTPBTQR-UHFFFAOYSA-N,CC1C=NC(=C(C=1)NS(=O)(=O)C1=CC(=C(Cl)C=C1)C(F)(F)F)C(=O)C1N=CN=C2NC=CC2=1,LUUMLYXKTPBTQR-UHFFFAOYSA-N,,0.0008999999990895,-3.045757491,1,1
12,CHEMBL2153581,?,,C1=CC2=C(N=C1)N=C(C=C2)CCCC(=O)NCC3=CC(=NO3)C4=CC(=C(C=C4)F)C(F)(F)F,"InChI=1S/C23H18F4N4O2/c24-19-9-7-15(11-18(19)23(25,26)27)20-12-17(33-31-20)13-29-21(32)5-1-4-16-8-6-14-3-2-10-28-22(14)30-16/h2-3,6-12H,1,4-5,13H2,(H,29,32)",SWKGPCNQBPGWNX-UHFFFAOYSA-N,O=C(CCCC1C=CC2C=CC=NC=2N=1)NCC1=CC(=NO1)C1C=CC(F)=C(C=1)C(F)(F)F,SWKGPCNQBPGWNX-UHFFFAOYSA-N,,0.0008999999990895,-3.045757491,1,1
13,CHEMBL482552,?,,C1CN(CCN1)CC2=CC(=C(C=C2)NC(=O)C3=NC4=CC=CC=C4N=C3)C5=NC6=CC=CC=C6N5,"InChI=1S/C27H25N7O/c35-27(25-16-29-21-5-1-2-6-22(21)30-25)33-20-10-9-18(17-34-13-11-28-12-14-34)15-19(20)26-31-23-7-3-4-8-24(23)32-26/h1-10,15-16,28H,11-14,17H2,(H,31,32)(H,33,35)",LDIGPCXXSLJKMC-UHFFFAOYSA-N,O=C(NC1C=CC(CN2CCNCC2)=CC=1C1NC2=CC=CC=C2N=1)C1C=NC2=CC=CC=C2N=1,LDIGPCXXSLJKMC-UHFFFAOYSA-N,,0.0008999999990895,-3.045757491,1,1
14,CHEMBL510193,?,,C1CN(CCC1C2=NC=C(N2)C3=CC=C(C=C3)F)CC4=CN(C=C4)C5=CC=C(C=C5)C(F)(F)F,"InChI=1S/C26H24F4N4/c27-22-5-1-19(2-6-22)24-15-31-25(32-24)20-10-12-33(13-11-20)16-18-9-14-34(17-18)23-7-3-21(4-8-23)26(28,29)30/h1-9,14-15,17,20H,10-13,16H2,(H,31,32)",QUNKIBBCFRVCCE-UHFFFAOYSA-N,FC1C=CC(=CC=1)C1=CN=C(N1)C1CCN(CC2=CN(C=C2)C2C=CC(=CC=2)C(F)(F)F)CC1,QUNKIBBCFRVCCE-UHFFFAOYSA-N,,0.0008999999990895,-3.045757491,1,1
15,41332-24-5,DTXSID70407284,NP-118809,C1CN(CCN1C(C2=CC=CC=C2)C3=CC=CC=C3)C(=O)CC(C4=CC=CC=C4)C5=CC=CC=C5,"InChI=1S/C32H32N2O/c35-31(25-30(26-13-5-1-6-14-26)27-15-7-2-8-16-27)33-21-23-34(24-22-33)32(28-17-9-3-10-18-28)29-19-11-4-12-20-29/h1-20,30,32H,21-25H2",VCPMZDWBEWTGNW-UHFFFAOYSA-N,O=C(CC(C1C=CC=CC=1)C1C=CC=CC=1)N1CCN(CC1)C(C1C=CC=CC=1)C1C=CC=CC=1,VCPMZDWBEWTGNW-UHFFFAOYSA-N,,0.001,-3.0,1,1
16,290315-45-6,DTXSID50460039,BMS 299897,C[C@H](C1=C(C=C(C=C1)F)CCCC(=O)O)N(C2=C(C=CC(=C2)F)F)S(=O)(=O)C3=CC=C(C=C3)Cl,"InChI=1S/C24H21ClF3NO4S/c1-15(21-11-7-18(26)13-16(21)3-2-4-24(30)31)29(23-14-19(27)8-12-22(23)28)34(32,33)20-9-5-17(25)6-10-20/h5-15H,2-4H2,1H3,(H,30,31)/t15-/m1/s1",IZAOBRWCUGOKNH-OAHLLOKOSA-N,CC(C1C=CC(F)=CC=1CCCC(O)=O)N(C1C=C(F)C=CC=1F)S(=O)(=O)C1C=CC(Cl)=CC=1,IZAOBRWCUGOKNH-UHFFFAOYSA-N,,0.001,-3.0,1,1
17,15-58-7,?,,C[C@@H](C1=CC=CC=C1)SC2=NC3=C(C(=N2)N[C@H](CC(C)C)CO)SC(=O)N3,"InChI=1S/C19H24N4O2S2/c1-11(2)9-14(10-24)20-16-15-17(23-19(25)27-15)22-18(21-16)26-12(3)13-7-5-4-6-8-13/h4-8,11-12,14,24H,9-10H2,1-3H3,(H2,20,21,22,23,25)/t12-,14+/m0/s1",IAGWEZFSRRPOSS-GXTWGEPZSA-N,CC(C)CC(CO)NC1=NC(=NC2NC(=O)SC=21)SC(C)C1C=CC=CC=1,IAGWEZFSRRPOSS-UHFFFAOYSA-N,,0.001,-3.0,1,1
18,CHEMBL1509029,?,,CC1=C(C=C(C=C1)S(=O)(=O)NC2=CC3=C(C=C2)N=C(S3)C)C,"InChI=1S/C16H16N2O2S2/c1-10-4-6-14(8-11(10)2)22(19,20)18-13-5-7-15-16(9-13)21-12(3)17-15/h4-9,18H,1-3H3",HWZRUJCLQLSMAX-UHFFFAOYSA-N,CC1C=C(C=CC=1C)S(=O)(=O)NC1=CC2SC(C)=NC=2C=C1,HWZRUJCLQLSMAX-UHFFFAOYSA-N,,0.001,-3.0,1,1
19,120210-48-2,DTXSID9046104,Tenidap,NC(=O)[n]1c(O)c(c2cc(Cl)ccc12)C(=O)c1ccc[s]1,"InChI=1S/C14H9ClN2O3S/c15-7-3-4-9-8(6-7)11(13(19)17(9)14(16)20)12(18)10-2-1-5-21-10/h1-6,19H,(H2,16,20)",IZSFDUMVCVVWKW-UHFFFAOYSA-N,NC(=O)N1C(O)=C(C2=CC(Cl)=CC=C12)C(=O)C1=CC=CS1,IZSFDUMVCVVWKW-UHFFFAOYSA-N,,0.001,-3.0,1,1
20,7173-51-5,DTXSID9032537,Didecyldimethylammonium chloride,[Cl-].C[N+](C)(CCCCCCCCCC)CCCCCCCCCC,"InChI=1S/C22H48N.ClH/c1-5-7-9-11-13-15-17-19-21-23(3,4)22-20-18-16-14-12-10-8-6-2;/h5-22H2,1-4H3;1H/q+1;/p-1",RUPBZQFQVRMKDG-UHFFFAOYSA-M,C[N+](C)(CCCCCCCCCC)CCCCCCCCCC,JGFDZZLUDWMUQH-UHFFFAOYSA-N,[Cl-],0.001,-3.0,1,1
21,1806-26-4,DTXSID9022312,4-Octylphenol,CCCCCCCCc1ccc(O)cc1,"InChI=1S/C14H22O/c1-2-3-4-5-6-7-8-13-9-11-14(15)12-10-13/h9-12,15H,2-8H2,1H3",NTDQQZYCCIDJRK-UHFFFAOYSA-N,CCCCCCCCC1C=CC(O)=CC=1,NTDQQZYCCIDJRK-UHFFFAOYSA-N,,0.001,-3.0,1,1
22,2058-94-8,DTXSID8047553,Perfluoroundecanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C11HF21O2/c12-2(13,1(33)34)3(14,15)4(16,17)5(18,19)6(20,21)7(22,23)8(24,25)9(26,27)10(28,29)11(30,31)32/h(H,33,34)",SIDINRCMMRKXGQ-UHFFFAOYSA-N,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,SIDINRCMMRKXGQ-UHFFFAOYSA-N,,0.001,-3.0,1,1
23,375-95-1,DTXSID8031863,Perfluorononanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C9HF17O2/c10-2(11,1(27)28)3(12,13)4(14,15)5(16,17)6(18,19)7(20,21)8(22,23)9(24,25)26/h(H,27,28)",UZUFPBIDKMEQEQ-UHFFFAOYSA-N,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UZUFPBIDKMEQEQ-UHFFFAOYSA-N,,0.001,-3.0,1,1
24,125533-88-2,DTXSID7032006,Arotinoid,C/C(=Cc1ccc(cc1)OCCN1CCOCC1)/c1ccc2c(c1)C(C)(C)CCC2(C)C,"InChI=1S/C29H39NO2/c1-22(24-8-11-26-27(21-24)29(4,5)13-12-28(26,2)3)20-23-6-9-25(10-7-23)32-19-16-30-14-17-31-18-15-30/h6-11,20-21H,12-19H2,1-5H3",OUQPTBCOEKUHBH-UHFFFAOYSA-N,CC(=CC1C=CC(=CC=1)OCCN1CCOCC1)C1C=CC2=C(C=1)C(C)(C)CCC2(C)C,OUQPTBCOEKUHBH-UHFFFAOYSA-N,,0.001,-3.0,1,1
25,95-94-3,DTXSID7024320,"1,2,4,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)cc1Cl,InChI=1S/C6H2Cl4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H,JHBKHLUZVFWLAG-UHFFFAOYSA-N,ClC1C=C(Cl)C(Cl)=CC=1Cl,JHBKHLUZVFWLAG-UHFFFAOYSA-N,,0.001,-3.0,1,1
26,303-47-9,DTXSID7021073,Ochratoxin A,C[C@@H]1Cc2c(C(=O)O1)c(O)c(cc2Cl)C(=O)N[C@@H](Cc1ccccc1)C(O)=O,"InChI=1S/C20H18ClNO6/c1-10-7-12-14(21)9-13(17(23)16(12)20(27)28-10)18(24)22-15(19(25)26)8-11-5-3-2-4-6-11/h2-6,9-10,15,23H,7-8H2,1H3,(H,22,24)(H,25,26)/t10-,15+/m1/s1",RWQKHEORZBHNRI-BMIGLBTASA-N,CC1CC2=C(C(O)=C(C=C2Cl)C(=O)NC(CC2C=CC=CC=2)C(O)=O)C(=O)O1,RWQKHEORZBHNRI-UHFFFAOYSA-N,,0.001,-3.0,1,1
27,789-02-6,DTXSID6022345,"o,p'-DDT",Clc1ccc(cc1)C(c1ccccc1Cl)C(Cl)(Cl)Cl,"InChI=1S/C14H9Cl5/c15-10-7-5-9(6-8-10)13(14(17,18)19)11-3-1-2-4-12(11)16/h1-8,13H",CVUGPAFCQJIYDT-UHFFFAOYSA-N,ClC1C=CC(=CC=1)C(C1=CC=CC=C1Cl)C(Cl)(Cl)Cl,CVUGPAFCQJIYDT-UHFFFAOYSA-N,,0.001,-3.0,1,1
28,2634-33-5,DTXSID5032523,"1,2-Benzisothiazolin-3-one",O=C1NSc2ccccc21,"InChI=1S/C7H5NOS/c9-7-5-3-1-2-4-6(5)10-8-7/h1-4H,(H,8,9)",DMSMPAJRVJJAGA-UHFFFAOYSA-N,O=C1NSC2C=CC=CC=21,DMSMPAJRVJJAGA-UHFFFAOYSA-N,,0.001,-3.0,1,1
29,55285-14-8,DTXSID5023950,Carbosulfan,CN(SN(CCCC)CCCC)C(=O)Oc1cccc2CC(C)(C)Oc21,"InChI=1S/C20H32N2O3S/c1-6-8-13-22(14-9-7-2)26-21(5)19(23)24-17-12-10-11-16-15-20(3,4)25-18(16)17/h10-12H,6-9,13-15H2,1-5H3",JLQUFIHWVLZVTJ-UHFFFAOYSA-N,CN(SN(CCCC)CCCC)C(=O)OC1C=CC=C2CC(C)(C)OC2=1,JLQUFIHWVLZVTJ-UHFFFAOYSA-N,,0.001,-3.0,1,1
30,33284-52-5,DTXSID4058657,"3,3',5,5'-Tetrachlorobiphenyl",Clc1cc(Cl)cc(c1)-c1cc(Cl)cc(Cl)c1,InChI=1S/C12H6Cl4/c13-9-1-7(2-10(14)5-9)8-3-11(15)6-12(16)4-8/h1-6H,UTMWFJSRHLYRPY-UHFFFAOYSA-N,ClC1=CC(Cl)=CC(=C1)C1=CC(Cl)=CC(Cl)=C1,UTMWFJSRHLYRPY-UHFFFAOYSA-N,,0.001,-3.0,1,1
31,33979-03-2,DTXSID3040302,"2,2',4,4',6,6'-Hexachlorobiphenyl",Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,InChI=1S/C12H4Cl6/c13-5-1-7(15)11(8(16)2-5)12-9(17)3-6(14)4-10(12)18/h1-4H,ICOAEPDGFWLUTI-UHFFFAOYSA-N,ClC1=CC(Cl)=C(C2C(Cl)=CC(Cl)=CC=2Cl)C(Cl)=C1,ICOAEPDGFWLUTI-UHFFFAOYSA-N,,0.001,-3.0,1,1
32,94-28-0,DTXSID3026564,Triethylene glycol bis(2-ethylhexanoate),CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CCCC)CC,"InChI=1S/C22H42O6/c1-5-9-11-19(7-3)21(23)27-17-15-25-13-14-26-16-18-28-22(24)20(8-4)12-10-6-2/h19-20H,5-18H2,1-4H3",FRQDZJMEHSJOPU-UHFFFAOYSA-N,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CCCC)CC,FRQDZJMEHSJOPU-UHFFFAOYSA-N,,0.001,-3.0,1,1
33,35065-27-1,DTXSID2032180,"2,2',4,4',5,5'-Hexachlorobiphenyl",Clc1cc(Cl)c(Cl)cc1-c1cc(Cl)c(Cl)cc1Cl,InChI=1S/C12H4Cl6/c13-7-3-11(17)9(15)1-5(7)6-2-10(16)12(18)4-8(6)14/h1-4H,MVWHGTYKUMDIHL-UHFFFAOYSA-N,ClC1=CC(Cl)=C(C=C1Cl)C1=CC(Cl)=C(Cl)C=C1Cl,MVWHGTYKUMDIHL-UHFFFAOYSA-N,,0.001,-3.0,1,1
34,563-12-2,DTXSID2024086,Ethion,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,"InChI=1S/C9H22O4P2S4/c1-5-10-14(16,11-6-2)18-9-19-15(17,12-7-3)13-8-4/h5-9H2,1-4H3",RIZMRRKBZQXFOY-UHFFFAOYSA-N,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,RIZMRRKBZQXFOY-UHFFFAOYSA-N,,0.001,-3.0,1,1
35,132-64-9,DTXSID2021993,Dibenzofuran,c1cccc2oc3ccccc3c21,InChI=1S/C12H8O/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8H,TXCDCPKCNAJMEE-UHFFFAOYSA-N,C1=CC=CC2OC3=CC=CC=C3C=21,TXCDCPKCNAJMEE-UHFFFAOYSA-N,,0.001,-3.0,1,1
36,197509-46-9,DTXSID10173436,Laniquidar,COC(=O)c1c[n]c2C(=C3CCN(CCc4ccc(cc4)OCc4ccc5ccccc5[n]4)CC3)c3ccccc3CC[n]12,"InChI=1S/C37H36N4O3/c1-43-37(42)34-24-38-36-35(32-8-4-2-6-27(32)19-23-41(34)36)29-17-21-40(22-18-29)20-16-26-10-14-31(15-11-26)44-25-30-13-12-28-7-3-5-9-33(28)39-30/h2-15,24H,16-23,25H2,1H3",TULGGJGJQXESOO-UHFFFAOYSA-N,COC(=O)C1=CN=C2C(=C3CCN(CCC4=CC=C(C=C4)OCC4C=CC5=CC=CC=C5N=4)CC3)C3=CC=CC=C3CCN12,TULGGJGJQXESOO-UHFFFAOYSA-N,,0.001,-3.0,1,1
37,80841-47-0,DTXSID00230663,Asulacrine,Cc1cccc2c1[n]c1c(cccc1c2Nc1ccc(cc1OC)NS(C)(=O)=O)C(=O)NC,"InChI=1S/C24H24N4O4S/c1-14-7-5-8-16-21(14)27-23-17(9-6-10-18(23)24(29)25-2)22(16)26-19-12-11-15(13-20(19)32-3)28-33(4,30)31/h5-13,28H,1-4H3,(H,25,29)(H,26,27)",TWHSQQYCDVSBRK-UHFFFAOYSA-N,CC1C=CC=C2C=1N=C1C(=CC=CC1=C2NC1C=CC(=CC=1OC)NS(C)(=O)=O)C(=O)NC,TWHSQQYCDVSBRK-UHFFFAOYSA-N,,0.001,-3.0,1,1
38,CHEMBL1515178,?,,CCN1C=C(C(=N1)C)CNC(=O)C2=CC(=NC3=C2C=C(C=C3)Br)C4=CC=C(C=C4)C,"InChI=1S/C24H23BrN4O/c1-4-29-14-18(16(3)28-29)13-26-24(30)21-12-23(17-7-5-15(2)6-8-17)27-22-10-9-19(25)11-20(21)22/h5-12,14H,4,13H2,1-3H3,(H,26,30)",ACKGZGJBVZHGFY-UHFFFAOYSA-N,CCN1C=C(CNC(=O)C2=CC(=NC3C=CC(Br)=CC=32)C2C=CC(C)=CC=2)C(C)=N1,ACKGZGJBVZHGFY-UHFFFAOYSA-N,,0.0010999999995992,-2.958607315,1,1
39,CHEMBL2070137,?,,CCS(=O)(=O)C1=CC2=C(C=C1)N=C(N2)C3=CC=CC(=C3)C4=CC=CC=C4,"InChI=1S/C21H18N2O2S/c1-2-26(24,25)18-11-12-19-20(14-18)23-21(22-19)17-10-6-9-16(13-17)15-7-4-3-5-8-15/h3-14H,2H2,1H3,(H,22,23)",UCTMDJGIDNKBDF-UHFFFAOYSA-N,CCS(=O)(=O)C1=CC2NC(=NC=2C=C1)C1C=C(C=CC=1)C1C=CC=CC=1,UCTMDJGIDNKBDF-UHFFFAOYSA-N,,0.0010999999995992,-2.958607315,1,1
40,CHEMBL2349316,?,,C[C@@H](C1=CC=CC=C1F)SC2=NC3=C(C(=N2)N[C@H](CC(C)C)CO)SC(=N3)N,"InChI=1S/C19H24FN5OS2/c1-10(2)8-12(9-26)22-16-15-17(23-18(21)28-15)25-19(24-16)27-11(3)13-6-4-5-7-14(13)20/h4-7,10-12,26H,8-9H2,1-3H3,(H3,21,22,23,24,25)/t11-,12+/m0/s1",PQYZCJMYDYNLKP-NWDGAFQWSA-N,CC(C)CC(CO)NC1=NC(=NC2N=C(N)SC=21)SC(C)C1=CC=CC=C1F,PQYZCJMYDYNLKP-UHFFFAOYSA-N,,0.0010999999995992,-2.958607315,1,1
41,CHEMBL27890,?,,COC1=CC2=C(C=C1)C(=CC(=O)N2CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)O,"InChI=1S/C24H19N5O3/c1-32-17-10-11-20-21(12-17)29(23(31)13-22(20)30)14-15-6-8-16(9-7-15)18-4-2-3-5-19(18)24-25-27-28-26-24/h2-13,30H,14H2,1H3,(H,25,26,27,28)",WUHCJPGWRDXBFO-UHFFFAOYSA-N,COC1C=C2C(=CC=1)C(=O)CC(=O)N2CC1C=CC(=CC=1)C1C=CC=CC=1C1=NNN=N1,YSTKWTJLPIWUSH-UHFFFAOYSA-N,,0.0010999999995992,-2.958607315,1,1
42,67614-33-9| 66230-04-4,DTXSID3020621| DTXSID4032667,"Fenvalerate|(r,r)-fenvalerate",CC(C)[C@@H](C(=O)O[C@@H](C#N)c1cc(ccc1)Oc1ccccc1)c1ccc(Cl)cc1,"InChI=1S/C25H22ClNO3/c1-17(2)24(18-11-13-20(26)14-12-18)25(28)30-23(16-27)19-7-6-10-22(15-19)29-21-8-4-3-5-9-21/h3-15,17,23-24H,1-2H3/t23-,24+/m0/s1",NYPJDWWKZLNGGM-BJKOFHAPSA-N,CC(C)C(C1=CC=C(Cl)C=C1)C(=O)OC(C#N)C1C=C(C=CC=1)OC1C=CC=CC=1,NYPJDWWKZLNGGM-UHFFFAOYSA-N,,0.0011180419938446,-2.95154188396975,1,1
43,21256-18-8,DTXSID1045118,Oxaprozin,OC(=O)CCc1[n]c(c(o1)-c1ccccc1)-c1ccccc1,"InChI=1S/C18H15NO3/c20-16(21)12-11-15-19-17(13-7-3-1-4-8-13)18(22-15)14-9-5-2-6-10-14/h1-10H,11-12H2,(H,20,21)",OFPXSFXSNFPTHF-UHFFFAOYSA-N,OC(=O)CCC1=NC(=C(O1)C1C=CC=CC=1)C1C=CC=CC=1,OFPXSFXSNFPTHF-UHFFFAOYSA-N,,0.0011608186761753,-2.93523561323862,1,1
44,1292799-56-4,?,,CN1C=C(C(=N1)C2=CC=C(C=C2)OCC3=NC4=CC=CC=C4C=C3)C5=CC=NC=C5,"InChI=1S/C25H20N4O/c1-29-16-23(18-12-14-26-15-13-18)25(28-29)20-7-10-22(11-8-20)30-17-21-9-6-19-4-2-3-5-24(19)27-21/h2-16H,17H2,1H3",AZEXWHKOMMASPA-UHFFFAOYSA-N,CN1C=C(C(=N1)C1C=CC(=CC=1)OCC1C=CC2=CC=CC=C2N=1)C1C=CN=CC=1,AZEXWHKOMMASPA-UHFFFAOYSA-N,,0.0011999999998684,-2.920818754,1,1
